27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
27;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
27;25;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;28;27;27;1;3;3;3;3;3;3;3;3;3;3;3;4;27;27;27;27;27;1;3;3;3;4;27
27;25;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;28;27;27;25;26;26;26;26;26;26;26;26;26;26;26;28;27;27;27;27;27;25;26;26;26;28;27
27;25;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;28;27;27;25;26;26;26;26;26;26;26;26;26;26;26;28;27;27;27;27;27;25;26;26;26;28;27
27;33;34;34;34;97;26;26;26;98;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;97;26;26;26;98;34;34;36;27;27;25;26;26;26;26;26;26;26;26;26;26;26;28;27;27;27;27;27;25;26;26;26;28;27
27;27;27;27;27;105;26;26;26;106;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;25;26;26;26;106;27;27;27;27;27;25;26;26;26;98;34;34;34;97;26;26;26;28;27;27;27;27;27;25;26;26;26;28;27
27;27;27;27;27;105;26;26;26;106;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;25;26;26;26;106;27;27;27;27;27;25;26;26;26;28;27;27;27;105;26;26;26;80;3;3;3;3;3;83;26;26;26;28;27
27;27;27;27;27;105;26;26;26;106;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;25;26;26;26;106;27;27;27;27;27;25;26;26;26;28;27;27;27;105;26;26;26;26;26;26;26;26;26;26;26;26;26;28;27
27;27;27;27;27;105;26;26;26;106;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;25;26;26;26;106;27;27;27;27;27;25;26;26;26;28;27;27;27;105;26;26;26;26;26;26;26;26;26;26;26;26;26;28;27
27;27;27;27;27;105;26;26;26;106;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;25;26;26;26;106;27;27;27;27;27;25;26;26;26;28;27;27;27;105;26;26;26;26;26;26;26;26;26;26;26;26;26;28;27
27;1;3;3;3;83;26;26;26;80;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;83;26;26;26;106;27;27;27;27;27;25;26;26;26;28;27;27;27;105;26;26;26;98;99;99;99;99;99;97;26;26;26;28;27
27;25;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;106;27;27;27;27;27;25;26;26;26;28;27;27;27;105;26;26;26;106;27;27;27;27;27;105;26;26;26;28;27
27;25;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;106;27;27;27;27;27;33;34;34;34;36;27;27;27;105;26;26;26;106;27;27;27;27;27;105;26;26;26;28;27
27;25;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;106;27;27;27;27;27;27;27;27;27;27;27;27;27;105;26;26;26;106;27;27;27;27;27;105;26;26;26;28;27
